"id","number","employees","active","comments","area_id","production_status_id","standard_id","created_at","updated_at","deleted_at"
"","1","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","2","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","3","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","4","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","5","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","6","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","7","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","8","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","9","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","10","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","11","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","12","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","13","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","14","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","15","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","16","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
"","17","3","1","Mesa de Ensamble","1","1",NULL,"2026-04-09 20:05:00",NULL,NULL
